CountryID,Country and Area,"Forest Area, 1990","Forest Area, 2000","Forest Area, 2010","Forest Area, 2015","Forest Area, 2020","Total Land Area, 2020","Forest Area as a  Proportion of 
Total Land Area, 2020","Deforestation, 
2015-2020","Total Forest Area 
Affected by Fire, 2015",,Forest loss % 1990-2000 (yearly ave.),Forest loss % 2000-2010 (yearly ave.),Forest loss % 2010-2015 (yearly ave.),Forest loss % 2015-2020 (yearly ave.),Forest loss % 1990-2020,Losing forest in the last five years?,Deforestation worsened in the last five years?,Losing forest in the last 30 years?,Deforestation worsened in the last five years?
384,Côte d’Ivoire,7850.86,5094.45,3965.58,3401.15,2836.71,31800,8.92,...,...,,-3.511,-2.216,-2.847,-3.319,-63.868,1,1,1,1
558,Nicaragua,6399.32,5399.32,4188.15,3907.53,3407.53,12034,28.32,105.03,...,,-1.563,-2.243,-1.340,-2.559,-46.752,1,1,1,1
562,Niger,1945,1328.1,1203.9,1141.8,1079.7,126670,0.85,14.92,...,,-3.172,-0.935,-1.032,-1.088,-44.488,1,1,1,1
270,Gambia,414.66,357.33,300,271.34,242.67,1012,23.98,...,...,,-1.383,-1.604,-1.911,-2.113,-41.477,1,1,1,1
600,Paraguay,25545.86,22991.65,19570.21,17498.94,16102.26,39730,40.53,279.34,...,,-1.000,-1.488,-2.117,-1.596,-36.967,1,0,1,0
454,Malawi,3501.7,3081.7,2661.7,2451.7,2241.7,9428,23.78,42,412.61,,-1.199,-1.363,-1.578,-1.713,-35.983,1,1,1,1
148,Chad,6730,6353,5530,4890,4313,125920,3.43,...,...,,-0.560,-1.295,-2.315,-2.360,-35.914,1,1,1,1
666,Saint Pierre and Miquelon,1.9,1.67,1.44,1.33,1.22,23,5.30,...,0,,-1.211,-1.377,-1.528,-1.654,-35.789,1,1,1,1
204,Benin,4835.15,4135.15,3635.15,3385.15,3135.15,11276,27.80,...,...,,-1.448,-1.209,-1.375,-1.477,-35.159,1,1,1,1
800,Uganda,3575.47,3162.95,2750.42,2544.16,2337.9,20052,11.66,51.09,...,,-1.154,-1.304,-1.500,-1.621,-34.613,1,1,1,1
478,Mauritania,476.04,421.64,367.24,340.04,312.8,103070,0.30,45.38,0.47,,-1.143,-1.290,-1.481,-1.602,-34.291,1,1,1,1
500,Montserrat,3.5,2.5,2.5,2.5,2.5,10,25.00,...,...,,-2.857,0.000,0.000,0.000,-28.571,0,0,1,0
174,Comoros,46.06,41.68,37.3,35.11,32.92,186,17.70,...,...,,-0.951,-1.051,-1.174,-1.248,-28.528,1,1,1,1
706,Somalia,8282.5,7515,6747.5,6363.75,5980,62734,9.53,76.75,...,,-0.927,-1.021,-1.137,-1.206,-27.800,1,1,1,1
580,Northern Mariana Islands,33.61,31.96,30.32,29.49,24.36,46,52.96,...,...,,-0.491,-0.513,-0.547,-3.479,-27.522,1,1,1,1
175,Mayotte,19.1,15.67,14.41,14.14,13.89,37,37.54,0.06,...,,-1.796,-0.804,-0.375,-0.354,-27.277,1,0,1,0
104,Myanmar,39218.48,34868.11,31441,29992.44,28543.89,65308,43.71,293.92,1186.9,,-1.109,-0.983,-0.921,-0.966,-27.218,1,1,1,1
116,Cambodia,11004.79,10781,10589.23,8846.82,8068.37,17652,45.71,...,446,,-0.203,-0.178,-3.291,-1.760,-26.683,1,0,1,0
320,Guatemala,4781.2,4209.2,3722.6,3585.8,3527.8,10716,32.92,11.6,9.5,,-1.196,-1.156,-0.735,-0.323,-26.215,1,0,1,0
586,Pakistan,4986.79,4511.26,4093.73,3932.6,3725.9,77088,4.83,...,...,,-0.954,-0.926,-0.787,-1.051,-25.285,1,1,1,1
516,Namibia,8769.17,8059.08,7348.99,6993.95,6638.9,82329,8.06,...,...,,-0.810,-0.881,-0.966,-1.015,-24.293,1,1,1,1
360,Indonesia,118545,101280,99659.2,95027.9,92133.2,187752,49.07,650,...,,-1.456,-0.160,-0.929,-0.609,-22.280,1,0,1,0
729,Sudan,23570.31,21826.16,20081.17,19209.93,18359.55,186665,9.84,264,...,,-0.740,-0.799,-0.868,-0.885,-22.107,1,1,1,1
834,United Republic of Tanzania,57390.01,53670.01,49950.01,48090,45745,88580,51.64,474,587.3,,-0.648,-0.693,-0.745,-0.975,-20.291,1,1,1,1
84,Belize,1600.03,1459.3,1391.39,1332.83,1277.05,2281,55.99,11.16,...,,-0.880,-0.465,-0.842,-0.837,-20.186,1,0,1,0
28,Antigua and Barbuda,10.11,9.45,8.78,8.45,8.12,44,18.45,...,...,,-0.653,-0.709,-0.752,-0.781,-19.683,1,1,1,1
288,Ghana,9924.26,8848.61,7942.93,7880.44,7985.71,22754,35.10,...,...,,-1.084,-1.024,-0.157,0.267,-19.533,0,0,1,0
854,Burkina Faso,7716.6,7216.5,6716.5,6466.4,6216.4,27360,22.72,...,...,,-0.648,-0.693,-0.745,-0.773,-19.441,1,1,1,1
694,Sierra Leone,3126.7,2929.43,2732.16,2633.53,2534.88,7218,35.12,...,...,,-0.631,-0.673,-0.722,-0.749,-18.928,1,1,1,1
72,Botswana,18803.7,17620.7,16437.7,15846.2,15254.7,56673,26.92,...,142.92,,-0.629,-0.671,-0.720,-0.747,-18.874,1,1,1,1
850,United States Virgin Islands,24.54,20.47,18.43,19.16,19.91,35,56.89,...,...,,-1.659,-0.997,0.792,0.783,-18.867,0,0,1,1
32,Argentina,35204,33378,30214,29097,28573,273669,10.44,134.8,128,,-0.519,-0.948,-0.739,-0.360,-18.836,1,0,1,0
222,El Salvador,718.88,673.88,628.88,606.38,583.88,2072,28.18,4.5,...,,-0.626,-0.668,-0.716,-0.742,-18.779,1,1,1,1
566,Nigeria,26526.09,24893.04,23259.98,22443.45,21626.95,91077,23.75,163.31,12,,-0.616,-0.656,-0.702,-0.728,-18.469,1,1,1,1
512,Oman,3,3,3,3,2.5,30950,0.01,...,0,,0.000,0.000,0.000,-3.333,-16.667,1,1,1,1
180,Democratic Republic of the Congo,150629,143899,137169,131662.12,126155.24,226705,55.65,...,...,,-0.447,-0.468,-0.803,-0.837,-16.248,1,1,1,1
24,Angola,79262.78,77708.61,72158,69382.69,66607.38,124670,53.43,...,...,,-0.196,-0.714,-0.769,-0.800,-15.966,1,1,1,1
76,Brazil,588898,551088.6,511580.7,503884.8,496619.6,835814,59.42,1695.7,32998.07,,-0.642,-0.717,-0.301,-0.288,-15.670,1,0,1,0
