Index,Variant,"Region, subregion, country or area *",Notes,CountryID,Type,Parent code,2019,2020
27,Estimates,Burundi,,108,Country/Area,910,  11 531,  11 891
28,Estimates,Comoros,,174,Country/Area,910,   851,   870
29,Estimates,Djibouti,,262,Country/Area,910,   974,   988
30,Estimates,Eritrea,,232,Country/Area,910,  3 497,  3 546
31,Estimates,Ethiopia,,231,Country/Area,910,  112 079,  114 964
32,Estimates,Kenya,,404,Country/Area,910,  52 574,  53 771
33,Estimates,Madagascar,,450,Country/Area,910,  26 969,  27 691
34,Estimates,Malawi,,454,Country/Area,910,  18 629,  19 130
35,Estimates,Mauritius,1,480,Country/Area,910,  1 270,  1 272
36,Estimates,Mayotte,2,175,Country/Area,910,   266,   273
37,Estimates,Mozambique,,508,Country/Area,910,  30 366,  31 255
38,Estimates,Réunion,2,638,Country/Area,910,   889,   895
39,Estimates,Rwanda,,646,Country/Area,910,  12 627,  12 952
40,Estimates,Seychelles,,690,Country/Area,910,   98,   98
41,Estimates,Somalia,,706,Country/Area,910,  15 443,  15 893
42,Estimates,South Sudan,,728,Country/Area,910,  11 062,  11 194
43,Estimates,Uganda,,800,Country/Area,910,  44 270,  45 741
44,Estimates,United Republic of Tanzania,3,834,Country/Area,910,  58 005,  59 734
45,Estimates,Zambia,,894,Country/Area,910,  17 861,  18 384
46,Estimates,Zimbabwe,,716,Country/Area,910,  14 645,  14 863
48,Estimates,Angola,,24,Country/Area,911,  31 825,  32 866
49,Estimates,Cameroon,,120,Country/Area,911,  25 876,  26 546
50,Estimates,Central African Republic,,140,Country/Area,911,  4 745,  4 830
51,Estimates,Chad,,148,Country/Area,911,  15 947,  16 426
52,Estimates,Congo,,178,Country/Area,911,  5 381,  5 518
53,Estimates,Democratic Republic of the Congo,,180,Country/Area,911,  86 791,  89 561
54,Estimates,Equatorial Guinea,,226,Country/Area,911,  1 356,  1 403
55,Estimates,Gabon,,266,Country/Area,911,  2 173,  2 226
56,Estimates,Sao Tome and Principe,,678,Country/Area,911,   215,   219
58,Estimates,Botswana,,72,Country/Area,913,  2 304,  2 352
59,Estimates,Eswatini,,748,Country/Area,913,  1 148,  1 160
60,Estimates,Lesotho,,426,Country/Area,913,  2 125,  2 142
61,Estimates,Namibia,,516,Country/Area,913,  2 495,  2 541
62,Estimates,South Africa,,710,Country/Area,913,  58 558,  59 309
64,Estimates,Benin,,204,Country/Area,914,  11 801,  12 123
65,Estimates,Burkina Faso,,854,Country/Area,914,  20 321,  20 903
66,Estimates,Cabo Verde,,132,Country/Area,914,   550,   556
67,Estimates,Côte d'Ivoire,,384,Country/Area,914,  25 717,  26 378
68,Estimates,Gambia,,270,Country/Area,914,  2 348,  2 417
69,Estimates,Ghana,,288,Country/Area,914,  30 418,  31 073
70,Estimates,Guinea,,324,Country/Area,914,  12 771,  13 133
71,Estimates,Guinea-Bissau,,624,Country/Area,914,  1 921,  1 968
72,Estimates,Liberia,,430,Country/Area,914,  4 937,  5 058
73,Estimates,Mali,,466,Country/Area,914,  19 658,  20 251
74,Estimates,Mauritania,,478,Country/Area,914,  4 526,  4 650
75,Estimates,Niger,,562,Country/Area,914,  23 311,  24 207
76,Estimates,Nigeria,,566,Country/Area,914,  200 964,  206 140
77,Estimates,Saint Helena,4,654,Country/Area,914,   6,   6
78,Estimates,Senegal,,686,Country/Area,914,  16 296,  16 744
79,Estimates,Sierra Leone,,694,Country/Area,914,  7 813,  7 977
80,Estimates,Togo,,768,Country/Area,914,  8 082,  8 279
83,Estimates,Algeria,,12,Country/Area,912,  43 053,  43 851
84,Estimates,Egypt,,818,Country/Area,912,  100 388,  102 334
85,Estimates,Libya,,434,Country/Area,912,  6 777,  6 871
86,Estimates,Morocco,,504,Country/Area,912,  36 472,  36 911
87,Estimates,Sudan,,729,Country/Area,912,  42 813,  43 849
88,Estimates,Tunisia,,788,Country/Area,912,  11 695,  11 819
89,Estimates,Western Sahara,,732,Country/Area,912,   582,   597
91,Estimates,Armenia,,51,Country/Area,922,  2 958,  2 963
92,Estimates,Azerbaijan,5,31,Country/Area,922,  10 048,  10 139
93,Estimates,Bahrain,,48,Country/Area,922,  1 641,  1 702
94,Estimates,Cyprus,6,196,Country/Area,922,  1 199,  1 207
95,Estimates,Georgia,7,268,Country/Area,922,  3 997,  3 989
96,Estimates,Iraq,,368,Country/Area,922,  39 310,  40 223
97,Estimates,Israel,,376,Country/Area,922,  8 519,  8 656
98,Estimates,Jordan,,400,Country/Area,922,  10 102,  10 203
99,Estimates,Kuwait,,414,Country/Area,922,  4 207,  4 271
100,Estimates,Lebanon,,422,Country/Area,922,  6 856,  6 825
101,Estimates,Oman,,512,Country/Area,922,  4 975,  5 107
102,Estimates,Qatar,,634,Country/Area,922,  2 832,  2 881
103,Estimates,Saudi Arabia,,682,Country/Area,922,  34 269,  34 814
104,Estimates,State of Palestine,8,275,Country/Area,922,  4 981,  5 101
105,Estimates,Syrian Arab Republic,,760,Country/Area,922,  17 070,  17 501
106,Estimates,Turkey,,792,Country/Area,922,  83 430,  84 339
107,Estimates,United Arab Emirates,,784,Country/Area,922,  9 771,  9 890
108,Estimates,Yemen,,887,Country/Area,922,  29 162,  29 826
111,Estimates,Kazakhstan,,398,Country/Area,5500,  18 551,  18 777
112,Estimates,Kyrgyzstan,,417,Country/Area,5500,  6 416,  6 524
113,Estimates,Tajikistan,,762,Country/Area,5500,  9 321,  9 538
114,Estimates,Turkmenistan,,795,Country/Area,5500,  5 942,  6 031
115,Estimates,Uzbekistan,,860,Country/Area,5500,  32 982,  33 469
117,Estimates,Afghanistan,,4,Country/Area,5501,  38 042,  38 928
118,Estimates,Bangladesh,,50,Country/Area,5501,  163 046,  164 689
119,Estimates,Bhutan,,64,Country/Area,5501,   763,   772
120,Estimates,India,,356,Country/Area,5501, 1 366 418, 1 380 004
121,Estimates,Iran (Islamic Republic of),,364,Country/Area,5501,  82 914,  83 993
122,Estimates,Maldives,,462,Country/Area,5501,   531,   541
123,Estimates,Nepal,,524,Country/Area,5501,  28 609,  29 137
124,Estimates,Pakistan,,586,Country/Area,5501,  216 565,  220 892
